Country,Continent,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Buy stolen goods,Someone accepting a bribe,Homosexuality,Prostitution,Abortion,Divorce,Suicide
Argentina,America,2.31,2.37,2.27,1.64,1.41,2.26,2.12,3.16,4.91,1.57
Hungary,Europa,1.52,1.67,,1.34,1.84,1.43,1.51,4.03,4.51,1.84
United States,America,1.61,1.87,2.05,1.61,1.43,2.42,2.38,3.56,4.67,2.05
Mexico,America,3.33,3.44,1.46,2.19,2.23,2.25,2.44,2.68,3.65,2.13
South Korea,Asia,2.28,2.37,2.79,2.44,2.15,2.3,2.33,3.04,3.79,2.32
Finland,Europa,1.88,1.9,2.4,1.52,1.45,3.45,2.96,4.63,5.81,2.53
Japan,Asia,1.86,1.55,1.46,1.49,1.82,2.52,2.04,3.49,4.53,2.81
Sweden,Europa,1.46,1.66,1.83,1.2,1.6,4.53,2.66,5.46,6.09,2.88
Australia,Oceania,1.83,2.42,3.1,1.8,1.71,3.79,3.89,4.29,5.06,3.1
